1.383181010048969116e-02,1.053607413030285406e-01
1.696762957083659817e-02,1.253901626340780395e-01
2.074842588567648097e-02,1.487420337393337566e-01
2.524422971281153547e-02,1.755007980641326015e-01
3.052166716443730290e-02,2.056646975442686376e-01
3.664098232403051325e-02,2.391255503098796420e-01
4.365600959300654921e-02,2.756687506854469949e-01
5.161197197991779922e-02,3.149733106220163337e-01
6.054231624410180701e-02,3.567031434598012529e-01
7.046451226906490228e-02,4.002208092940127138e-01
8.137879543199562360e-02,4.446727392040453197e-01
9.326816660376469059e-02,4.891853450759640620e-01
1.060983921489250387e-01,5.328650196025042085e-01
1.198199323365128077e-01,5.747981362830709706e-01
1.344030162389487637e-01,6.140510494237405581e-01
1.497395845322707919e-01,6.496700941372589577e-01
1.657145033862540140e-01,6.806815863430423219e-01
1.822427628287658363e-01,7.060978183736175140e-01
1.992694767457657001e-01,7.252011744774166102e-01
2.167698828813056089e-01,7.375290768716000755e-01
2.347493428375293789e-01,7.427637627604217752e-01
2.532433420746734720e-01,7.407890707992622614e-01
2.723174899110663572e-01,7.316904410946288850e-01
2.920675195231286492e-01,7.157549152041556839e-01
3.126204585384702583e-01,6.934711361366031612e-01
3.343475659816191325e-01,6.655293483518588404e-01
3.575939872136132403e-01,6.328015892475966631e-01
3.827359385709749318e-01,5.962546251003094655e-01
4.103885249476821873e-01,5.568898121586024486e-01
4.414057397951688388e-01,5.156970950931112352e-01
4.768804651223240709e-01,4.736536940847176358e-01
5.181444714954933639e-01,4.317241048245490931e-01
5.667684180384772175e-01,3.908600985139795148e-01
6.247943851167635509e-01,3.519705673715504135e-01
6.948065633326995227e-01,3.157033677604826338e-01
7.793177118588783259e-01,2.825651271687188437e-01
8.823208688003508771e-01,2.530250251373659665e-01
1.009389760015814819e+00,2.275144900830954608e-01
1.167678799117614963e+00,2.064271992981429049e-01
1.365923087471744957e+00,1.901115193946753268e-01
1.615110750486104418e+00,1.788630466744187686e-01
